Year,Ward,Dwellings,Residents,Vehicles,Age 65 +,Voters,CENSUS_YEAR
04/01/1997 12:00:00 AM,6,23329,54630,,,,1997
04/01/1997 12:00:00 AM,7,27994,51924,,,,1997
04/01/1997 12:00:00 AM,8,27128,44325,,,,1997
04/01/1997 12:00:00 AM,9,20289,53671,,,,1997
04/01/1997 12:00:00 AM,10,18727,57115,,,,1997
04/01/1997 12:00:00 AM,11,21212,47177,,,,1997
04/01/1997 12:00:00 AM,12,22030,57227,,,,1997
04/01/1997 12:00:00 AM,13,19627,55100,,,,1997
04/01/1997 12:00:00 AM,14,19796,61355,,,,1997
04/01/1998 12:00:00 AM,1,25826,65795,,,,1998
04/01/1998 12:00:00 AM,2,24559,72305,,,,1998
04/01/1998 12:00:00 AM,3,23385,67905,,,,1998
04/01/1998 12:00:00 AM,4,22114,47607,,,,1998
04/01/1998 12:00:00 AM,5,20544,69009,,,,1998
04/01/1998 12:00:00 AM,6,24349,57361,,,,1998
04/01/1998 12:00:00 AM,7,28237,52001,,,,1998
04/01/1998 12:00:00 AM,8,27134,45396,,,,1998
04/01/1998 12:00:00 AM,9,20513,54705,,,,1998
04/01/1998 12:00:00 AM,10,18871,58382,,,,1998
04/01/1998 12:00:00 AM,11,21221,47046,,,,1998
04/01/1998 12:00:00 AM,12,22629,59555,,,,1998
04/01/1998 12:00:00 AM,13,19772,56073,,,,1998
04/01/1998 12:00:00 AM,14,21753,66194,,,,1998
04/01/1999 12:00:00 AM,1,26966,68399,,,,1999
04/01/1999 12:00:00 AM,2,25884,76813,,,,1999
04/01/1999 12:00:00 AM,3,25765,73511,,,,1999
04/01/1999 12:00:00 AM,4,22243,47364,,,,1999
04/01/1999 12:00:00 AM,5,21070,70456,,,,1999
04/01/1999 12:00:00 AM,6,25167,59042,,,,1999
04/01/1999 12:00:00 AM,7,28571,51911,,,,1999
04/01/1999 12:00:00 AM,8,27275,45755,,,,1999
04/01/1999 12:00:00 AM,9,20754,55180,,,,1999
04/01/1999 12:00:00 AM,10,19024,58198,,,,1999
04/01/1999 12:00:00 AM,11,21617,47756,,,,1999
04/01/1999 12:00:00 AM,12,23064,60210,,,,1999
04/01/1999 12:00:00 AM,13,19991,55868,,,,1999
04/01/1999 12:00:00 AM,14,23768,71925,,,,1999
04/01/2000 12:00:00 AM,1,28185,70996,,,,2000
04/01/2000 12:00:00 AM,2,26899,79916,,,,2000
04/01/2000 12:00:00 AM,3,27378,77450,,,,2000
04/01/2000 12:00:00 AM,4,22604,47605,,,,2000
04/01/2000 12:00:00 AM,5,21386,71363,,,,2000
04/01/2000 12:00:00 AM,6,26009,61176,,,,2000
04/01/2000 12:00:00 AM,7,28926,52769,,,,2000
04/01/2000 12:00:00 AM,8,27656,45428,,,,2000
04/01/2000 12:00:00 AM,9,20939,55250,,,,2000
04/01/2000 12:00:00 AM,10,19436,58197,,,,2000
04/01/2000 12:00:00 AM,11,22225,48284,,,,2000
04/01/2000 12:00:00 AM,12,23059,60016,,,,2000
04/01/2000 12:00:00 AM,13,19926,55676,,,,2000
04/01/2000 12:00:00 AM,14,25629,76623,,,,2000
04/01/2001 12:00:00 AM,1,25805,65193,,,,2001
04/01/2001 12:00:00 AM,2,22903,67583,,,,2001
04/01/2001 12:00:00 AM,3,23570,68093,,,,2001
04/01/2001 12:00:00 AM,4,28328,72419,,,,2001
04/01/2001 12:00:00 AM,5,18439,61398,,,,2001
04/01/2001 12:00:00 AM,6,24885,59350,,,,2001
04/01/2001 12:00:00 AM,7,29948,59150,,,,2001
04/01/2001 12:00:00 AM,8,38709,62920,,,,2001
04/01/2001 12:00:00 AM,9,23994,55389,,,,2001
04/01/2001 12:00:00 AM,10,19747,58432,,,,2001
04/01/2001 12:00:00 AM,11,27794,64563,,,,2001
04/01/2001 12:00:00 AM,12,24482,65371,,,,2001
04/01/2001 12:00:00 AM,13,22011,60589,,,,2001
04/01/2001 12:00:00 AM,14,18287,56069,,,,2001
04/01/2002 12:00:00 AM,1,27328,69092,,,,2002
04/01/2002 12:00:00 AM,2,24102,70954,,,,2002
04/01/2002 12:00:00 AM,3,26101,75068,,,,2002
04/01/2002 12:00:00 AM,4,28456,72285,,,,2002
04/01/2002 12:00:00 AM,5,18763,62164,,,,2002
04/01/2002 12:00:00 AM,6,26148,62912,,,,2002
04/01/2002 12:00:00 AM,7,30300,60731,,,,2002
